county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,state_name_census,county_name_census,pop_total,npopchg,net_mig_census,pop_growth_rate,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions
27005,MN-005,Becker County,2022,39.74166666666667,288.38,Minnesota,MN,27,Becker,5,27005,12251827.108760564,37.404580152671755,Very Low,11742172.484490383,41.367574257425744,Very Low,40.42620865,Relatively Moderate,85.05089058524173,Very High,135545.53437828043,48.44147582697201,Relatively Low,7340445.551278276,52.2264631043257,Relatively Low,327083.1973628905,77.16284987277355,Relatively Low,111911.57601598148,26.332691072575464,Very Low,408241.9030053694,89.46530872056016,Relatively High,December 2025,Minnesota,Becker County,35355,33,127,0.0934261933072777,,,,,,
27005,MN-005,Becker County,2023,40.15,253.41,Minnesota,MN,27,Becker,5,27005,12251827.108760564,37.404580152671755,Very Low,11742172.484490383,41.367574257425744,Very Low,40.42620865,Relatively Moderate,85.05089058524173,Very High,135545.53437828043,48.44147582697201,Relatively Low,7340445.551278276,52.2264631043257,Relatively Low,327083.1973628905,77.16284987277355,Relatively Low,111911.57601598148,26.332691072575464,Very Low,408241.9030053694,89.46530872056016,Relatively High,December 2025,Minnesota,Becker County,35282,-73,-16,-0.2064771602319326,17394.0,34849.0,17312.0,34308.0,82.0,541.0
27007,MN-007,Beltrami County,2020,38.475,323.88,Minnesota,MN,27,Beltrami,7,27007,22445051.221025582,60.55979643765903,Relatively Low,20146448.703765303,60.70544554455446,Relatively Low,50.28625954,Relatively Moderate,89.75826972010178,Very High,266060.3113029081,58.396946564885496,Relatively Low,15077834.500941368,72.55089058524173,Relatively Low,553451.3766402674,82.47455470737911,Relatively Low,239839.23039956167,39.9165061014772,Relatively Low,275718.7418113578,84.46849140674729,Relatively Moderate,December 2025,Minnesota,Beltrami County,46232,12,-7,,,,,,,
27007,MN-007,Beltrami County,2021,40.975,241.4,Minnesota,MN,27,Beltrami,7,27007,22445051.221025582,60.55979643765903,Relatively Low,20146448.703765303,60.70544554455446,Relatively Low,50.28625954,Relatively Moderate,89.75826972010178,Very High,266060.3113029081,58.396946564885496,Relatively Low,15077834.500941368,72.55089058524173,Relatively Low,553451.3766402674,82.47455470737911,Relatively Low,239839.23039956167,39.9165061014772,Relatively Low,275718.7418113578,84.46849140674729,Relatively Moderate,December 2025,Minnesota,Beltrami County,46473,241,112,0.5212839591624885,,,,,,
27007,MN-007,Beltrami County,2022,38.641666666666666,299.69,Minnesota,MN,27,Beltrami,7,27007,22445051.221025582,60.55979643765903,Relatively Low,20146448.703765303,60.70544554455446,Relatively Low,50.28625954,Relatively Moderate,89.75826972010178,Very High,266060.3113029081,58.396946564885496,Relatively Low,15077834.500941368,72.55089058524173,Relatively Low,553451.3766402674,82.47455470737911,Relatively Low,239839.23039956167,39.9165061014772,Relatively Low,275718.7418113578,84.46849140674729,Relatively Moderate,December 2025,Minnesota,Beltrami County,46687,214,256,0.4604824306586597,,,,,,
27007,MN-007,Beltrami County,2023,39.44166666666667,249.85,Minnesota,MN,27,Beltrami,7,27007,22445051.221025582,60.55979643765903,Relatively Low,20146448.703765303,60.70544554455446,Relatively Low,50.28625954,Relatively Moderate,89.75826972010178,Very High,266060.3113029081,58.396946564885496,Relatively Low,15077834.500941368,72.55089058524173,Relatively Low,553451.3766402674,82.47455470737911,Relatively Low,239839.23039956167,39.9165061014772,Relatively Low,275718.7418113578,84.46849140674729,Relatively Moderate,December 2025,Minnesota,Beltrami County,46570,-117,-118,-0.2506050934949821,21427.0,41786.0,21591.0,42058.0,-164.0,-272.0
27009,MN-009,Benton County,2020,42.90833333333333,389.89,Minnesota,MN,27,Benton,9,27009,17500145.268010583,51.335877862595424,Relatively Low,18122423.213978812,56.96163366336634,Relatively Low,30.47073791,Relatively Low,94.17938931297712,Very High,253640.49207796025,57.665394402035616,Relatively Low,9992647.799965823,61.67302798982188,Relatively Low,150940.2389691191,67.6208651399491,Relatively Low,318277.9679326829,45.95375722543353,Relatively Low,56440.152438190395,44.78039465308721,Relatively Low,December 2025,Minnesota,Benton County,41355,-22,-40,,,,,,,
27009,MN-009,Benton County,2021,44.458333333333336,299.2,Minnesota,MN,27,Benton,9,27009,17500145.268010583,51.335877862595424,Relatively Low,18122423.213978812,56.96163366336634,Relatively Low,30.47073791,Relatively Low,94.17938931297712,Very High,253640.49207796025,57.665394402035616,Relatively Low,9992647.799965823,61.67302798982188,Relatively Low,150940.2389691191,67.6208651399491,Relatively Low,318277.9679326829,45.95375722543353,Relatively Low,56440.152438190395,44.78039465308721,Relatively Low,December 2025,Minnesota,Benton County,41545,190,97,0.4594365856607441,,,,,,
27009,MN-009,Benton County,2022,43.025,339.76,Minnesota,MN,27,Benton,9,27009,17500145.268010583,51.335877862595424,Relatively Low,18122423.213978812,56.96163366336634,Relatively Low,30.47073791,Relatively Low,94.17938931297712,Very High,253640.49207796025,57.665394402035616,Relatively Low,9992647.799965823,61.67302798982188,Relatively Low,150940.2389691191,67.6208651399491,Relatively Low,318277.9679326829,45.95375722543353,Relatively Low,56440.152438190395,44.78039465308721,Relatively Low,December 2025,Minnesota,Benton County,41533,-12,-40,-0.028884342279456,,,,,,
27009,MN-009,Benton County,2023,43.64166666666667,338.86,Minnesota,MN,27,Benton,9,27009,17500145.268010583,51.335877862595424,Relatively Low,18122423.213978812,56.96163366336634,Relatively Low,30.47073791,Relatively Low,94.17938931297712,Very High,253640.49207796025,57.665394402035616,Relatively Low,9992647.799965823,61.67302798982188,Relatively Low,150940.2389691191,67.6208651399491,Relatively Low,318277.9679326829,45.95375722543353,Relatively Low,56440.152438190395,44.78039465308721,Relatively Low,December 2025,Minnesota,Benton County,41580,47,-70,0.1131630269905814,22839.0,44342.0,23214.0,44934.0,-375.0,-592.0
