county_fips,county_code,county_name,year,temp_avg,precip_total
27037,MN-037,Dakota County,2022,45.800000000000004,281.57
27037,MN-037,Dakota County,2023,46.300000000000004,303.78
27039,MN-039,Dodge County,2011,43.725,475.07
27039,MN-039,Dodge County,2012,48.05833333333334,346.53999999999996
27039,MN-039,Dodge County,2013,43.975,424.12
27039,MN-039,Dodge County,2014,40.65,430.64
27039,MN-039,Dodge County,2015,43.199999999999996,407.4
27039,MN-039,Dodge County,2016,47.083333333333336,511.81
27039,MN-039,Dodge County,2017,46.76666666666667,527.15
27039,MN-039,Dodge County,2018,43.49166666666667,420.32
27039,MN-039,Dodge County,2019,42.56666666666667,564.48
27039,MN-039,Dodge County,2020,44.23333333333333,511.03
27039,MN-039,Dodge County,2021,45.4,351.84
27039,MN-039,Dodge County,2022,44.574999999999996,369.8
27039,MN-039,Dodge County,2023,45.041666666666664,375.86
27041,MN-041,Douglas County,2011,40.916666666666664,409.61
27041,MN-041,Douglas County,2012,45.699999999999996,308.64
27041,MN-041,Douglas County,2013,41.016666666666666,290.34000000000003
27041,MN-041,Douglas County,2014,38.425000000000004,352.43
27041,MN-041,Douglas County,2015,41.725,327.58
27041,MN-041,Douglas County,2016,45.21666666666667,321.52
27041,MN-041,Douglas County,2017,44.25,348.83
27041,MN-041,Douglas County,2018,41.53333333333333,336.8
27041,MN-041,Douglas County,2019,39.88333333333333,345.39
27041,MN-041,Douglas County,2020,41.699999999999996,333.79
27041,MN-041,Douglas County,2021,43.75833333333333,275.01
27041,MN-041,Douglas County,2022,41.916666666666664,335.53000000000003
27041,MN-041,Douglas County,2023,42.208333333333336,250.81
27043,MN-043,Faribault County,2011,44.94166666666666,457.95
27043,MN-043,Faribault County,2012,49.55833333333334,306.84
27043,MN-043,Faribault County,2013,45.574999999999996,370.49
27043,MN-043,Faribault County,2014,42.43333333333334,388.77
27043,MN-043,Faribault County,2015,44.96666666666667,360.37
27043,MN-043,Faribault County,2016,48.30833333333334,465.04
27043,MN-043,Faribault County,2017,48.050000000000004,463.54
27043,MN-043,Faribault County,2018,44.541666666666664,434.39
27043,MN-043,Faribault County,2019,43.56666666666666,520.9
27043,MN-043,Faribault County,2020,45.458333333333336,450.3
27043,MN-043,Faribault County,2021,46.60833333333333,304.17
27043,MN-043,Faribault County,2022,45.699999999999996,319.25
27043,MN-043,Faribault County,2023,45.84166666666667,335.47
27045,MN-045,Fillmore County,2011,44.50833333333333,472.66
27045,MN-045,Fillmore County,2012,48.583333333333336,334.33
27045,MN-045,Fillmore County,2013,44.68333333333334,475.2
27045,MN-045,Fillmore County,2014,41.15833333333333,472.93
27045,MN-045,Fillmore County,2015,43.5,415.61
27045,MN-045,Fillmore County,2016,47.225,498.88
27045,MN-045,Fillmore County,2017,47.00833333333333,535.35
27045,MN-045,Fillmore County,2018,44.18333333333334,478.13
27045,MN-045,Fillmore County,2019,43.15,600.26
27045,MN-045,Fillmore County,2020,44.625,493.39
27045,MN-045,Fillmore County,2021,45.416666666666664,350.98
27045,MN-045,Fillmore County,2022,44.6,414.22
27045,MN-045,Fillmore County,2023,45.35833333333333,404.4
27047,MN-047,Freeborn County,2011,44.48333333333333,446.67
27047,MN-047,Freeborn County,2012,48.9,309.87
27047,MN-047,Freeborn County,2013,45.00833333333333,410.28
27047,MN-047,Freeborn County,2014,41.775,434.99
27047,MN-047,Freeborn County,2015,44.26666666666667,422.42
27047,MN-047,Freeborn County,2016,47.78333333333333,523.25
27047,MN-047,Freeborn County,2017,47.458333333333336,524.61
27047,MN-047,Freeborn County,2018,44.03333333333333,462.11
27047,MN-047,Freeborn County,2019,43.03333333333333,544.7
27047,MN-047,Freeborn County,2020,44.975,477.21
27047,MN-047,Freeborn County,2021,46.10833333333333,342.52
27047,MN-047,Freeborn County,2022,45.25,354.64
27047,MN-047,Freeborn County,2023,45.583333333333336,337.36
27049,MN-049,Goodhue County,2011,44.49166666666667,479.92
27049,MN-049,Goodhue County,2012,48.775,373.2
27049,MN-049,Goodhue County,2013,44.61666666666667,405.87
27049,MN-049,Goodhue County,2014,41.166666666666664,412.0
27049,MN-049,Goodhue County,2015,44.00833333333333,393.81
27049,MN-049,Goodhue County,2016,47.9,504.06
27049,MN-049,Goodhue County,2017,47.48333333333333,517.38
27049,MN-049,Goodhue County,2018,44.11666666666667,405.54
27049,MN-049,Goodhue County,2019,43.15,519.67
27049,MN-049,Goodhue County,2020,44.9,473.68
27049,MN-049,Goodhue County,2021,45.99166666666667,329.58
27049,MN-049,Goodhue County,2022,44.949999999999996,315.69
27049,MN-049,Goodhue County,2023,45.6,351.58
27051,MN-051,Grant County,2011,41.583333333333336,371.65
27051,MN-051,Grant County,2012,46.541666666666664,273.38
27051,MN-051,Grant County,2013,41.6,282.79
27051,MN-051,Grant County,2014,39.425000000000004,331.86
27051,MN-051,Grant County,2015,42.699999999999996,290.43
27051,MN-051,Grant County,2016,46.24166666666667,284.29
27051,MN-051,Grant County,2017,45.19166666666666,316.67
27051,MN-051,Grant County,2018,42.36666666666667,306.19
27051,MN-051,Grant County,2019,40.666666666666664,341.42
27051,MN-051,Grant County,2020,42.71666666666667,330.14
27051,MN-051,Grant County,2021,44.85,263.59
27051,MN-051,Grant County,2022,42.80833333333334,313.03999999999996
27051,MN-051,Grant County,2023,42.583333333333336,240.59
27053,MN-053,Hennepin County,2011,44.80833333333334,433.73
27053,MN-053,Hennepin County,2012,49.19166666666666,359.75
27053,MN-053,Hennepin County,2013,44.89166666666667,363.45
27053,MN-053,Hennepin County,2014,41.391666666666666,416.18
27053,MN-053,Hennepin County,2015,44.458333333333336,362.28
27053,MN-053,Hennepin County,2016,48.208333333333336,448.27
27053,MN-053,Hennepin County,2017,47.63333333333333,442.14
27053,MN-053,Hennepin County,2018,44.38333333333333,363.9
27053,MN-053,Hennepin County,2019,43.25833333333333,436.88
27053,MN-053,Hennepin County,2020,45.166666666666664,413.59999999999997
27053,MN-053,Hennepin County,2021,46.55833333333334,288.5
27053,MN-053,Hennepin County,2022,45.30833333333334,283.07
27053,MN-053,Hennepin County,2023,45.89166666666667,303.9
27055,MN-055,Houston County,2011,45.708333333333336,498.03
27055,MN-055,Houston County,2012,49.56666666666666,370.68
27055,MN-055,Houston County,2013,45.916666666666664,481.4
27055,MN-055,Houston County,2014,42.449999999999996,480.19
27055,MN-055,Houston County,2015,45.025,417.43
27055,MN-055,Houston County,2016,48.76666666666667,500.96
27055,MN-055,Houston County,2017,48.69166666666666,555.27
27055,MN-055,Houston County,2018,46.0,499.78
27055,MN-055,Houston County,2019,44.833333333333336,607.19
27055,MN-055,Houston County,2020,46.35,498.94
27055,MN-055,Houston County,2021,47.00833333333333,379.5
27055,MN-055,Houston County,2022,46.09166666666667,407.37
27055,MN-055,Houston County,2023,46.84166666666667,394.77
27057,MN-057,Hubbard County,2011,39.925000000000004,334.18
27057,MN-057,Hubbard County,2012,44.05833333333334,273.46999999999997
27057,MN-057,Hubbard County,2013,39.56666666666667,296.85
27057,MN-057,Hubbard County,2014,36.24166666666667,316.05
27057,MN-057,Hubbard County,2015,40.34166666666667,287.89
27057,MN-057,Hubbard County,2016,43.93333333333334,323.53
27057,MN-057,Hubbard County,2017,42.68333333333334,295.38
27057,MN-057,Hubbard County,2018,39.25833333333333,275.46
27057,MN-057,Hubbard County,2019,38.00833333333333,341.24
27057,MN-057,Hubbard County,2020,39.63333333333333,345.07
27057,MN-057,Hubbard County,2021,41.85,251.27
27057,MN-057,Hubbard County,2022,39.583333333333336,304.53
27057,MN-057,Hubbard County,2023,40.675000000000004,254.55
27059,MN-059,Isanti County,2011,43.025,454.48
27059,MN-059,Isanti County,2012,47.449999999999996,361.67
27059,MN-059,Isanti County,2013,43.26666666666667,337.96
27059,MN-059,Isanti County,2014,39.775,410.73
27059,MN-059,Isanti County,2015,43.34166666666667,378.55
27059,MN-059,Isanti County,2016,47.041666666666664,425.1
27059,MN-059,Isanti County,2017,46.28333333333333,439.31
27059,MN-059,Isanti County,2018,42.791666666666664,375.62
27059,MN-059,Isanti County,2019,41.916666666666664,424.89
27059,MN-059,Isanti County,2020,43.625,374.0
27059,MN-059,Isanti County,2021,44.85833333333333,281.7
27059,MN-059,Isanti County,2022,43.43333333333334,293.29
27059,MN-059,Isanti County,2023,44.30833333333334,319.27
27061,MN-061,Itasca County,2011,39.40833333333333,352.23
27061,MN-061,Itasca County,2012,43.025,331.75
27061,MN-061,Itasca County,2013,38.78333333333333,317.69
27061,MN-061,Itasca County,2014,35.38333333333333,327.26
27061,MN-061,Itasca County,2015,39.074999999999996,301.0
27061,MN-061,Itasca County,2016,42.38333333333333,359.87
27061,MN-061,Itasca County,2017,41.4,356.01
27061,MN-061,Itasca County,2018,38.19166666666667,315.99
27061,MN-061,Itasca County,2019,37.15,336.12
27061,MN-061,Itasca County,2020,39.00833333333333,327.54
27061,MN-061,Itasca County,2021,40.891666666666666,274.95
27061,MN-061,Itasca County,2022,38.583333333333336,322.19
27061,MN-061,Itasca County,2023,39.833333333333336,290.35
27063,MN-063,Jackson County,2011,44.19166666666666,429.72
27063,MN-063,Jackson County,2012,48.916666666666664,319.84
27063,MN-063,Jackson County,2013,44.975,299.68
27063,MN-063,Jackson County,2014,41.958333333333336,301.75
27063,MN-063,Jackson County,2015,44.583333333333336,319.0
27063,MN-063,Jackson County,2016,47.46666666666667,453.45
27063,MN-063,Jackson County,2017,47.333333333333336,423.74
27063,MN-063,Jackson County,2018,43.88333333333333,477.17
27063,MN-063,Jackson County,2019,42.85833333333333,546.29
27063,MN-063,Jackson County,2020,45.125,398.77
27063,MN-063,Jackson County,2021,46.75,281.0
27063,MN-063,Jackson County,2022,46.275,322.94
27063,MN-063,Jackson County,2023,45.550000000000004,320.89
27065,MN-065,Kanabec County,2011,41.949999999999996,455.72
27065,MN-065,Kanabec County,2012,46.166666666666664,373.49
27065,MN-065,Kanabec County,2013,41.85,348.96
27065,MN-065,Kanabec County,2014,38.43333333333333,444.21
27065,MN-065,Kanabec County,2015,42.09166666666667,404.77
27065,MN-065,Kanabec County,2016,45.75,441.91
27065,MN-065,Kanabec County,2017,44.81666666666666,450.11
27065,MN-065,Kanabec County,2018,41.36666666666667,399.32
27065,MN-065,Kanabec County,2019,40.6,429.25
27065,MN-065,Kanabec County,2020,42.516666666666666,412.57
27065,MN-065,Kanabec County,2021,43.63333333333333,309.75
27065,MN-065,Kanabec County,2022,41.93333333333333,334.81
27065,MN-065,Kanabec County,2023,43.041666666666664,344.45
27067,MN-067,Kandiyohi County,2011,42.824999999999996,424.63
27067,MN-067,Kandiyohi County,2012,47.791666666666664,294.53
27067,MN-067,Kandiyohi County,2013,42.74166666666667,304.19
27067,MN-067,Kandiyohi County,2014,40.18333333333333,358.65
27067,MN-067,Kandiyohi County,2015,43.416666666666664,327.57
27067,MN-067,Kandiyohi County,2016,46.949999999999996,363.84
27067,MN-067,Kandiyohi County,2017,46.125,386.91
27067,MN-067,Kandiyohi County,2018,43.050000000000004,375.22
27067,MN-067,Kandiyohi County,2019,41.40833333333333,425.58
27067,MN-067,Kandiyohi County,2020,43.51666666666667,341.53
27067,MN-067,Kandiyohi County,2021,45.35833333333333,262.95
27067,MN-067,Kandiyohi County,2022,43.73333333333333,303.14
27067,MN-067,Kandiyohi County,2023,43.51666666666667,267.62
27069,MN-069,Kittson County,2011,38.675000000000004,292.67
27069,MN-069,Kittson County,2012,42.75833333333333,199.79
27069,MN-069,Kittson County,2013,37.975,240.94
27069,MN-069,Kittson County,2014,35.225,265.18
27069,MN-069,Kittson County,2015,39.375,264.42
27069,MN-069,Kittson County,2016,43.1,319.2
27069,MN-069,Kittson County,2017,42.2,267.77
27069,MN-069,Kittson County,2018,39.625,193.93
27069,MN-069,Kittson County,2019,37.391666666666666,242.27
27069,MN-069,Kittson County,2020,39.425000000000004,296.18
27069,MN-069,Kittson County,2021,41.858333333333334,197.97
27069,MN-069,Kittson County,2022,39.05833333333333,275.26
27069,MN-069,Kittson County,2023,39.108333333333334,212.34
27071,MN-071,Koochiching County,2011,38.5,334.9
27071,MN-071,Koochiching County,2012,42.416666666666664,272.27
27071,MN-071,Koochiching County,2013,37.65,314.27
27071,MN-071,Koochiching County,2014,34.275,353.83
27071,MN-071,Koochiching County,2015,38.13333333333333,326.03
27071,MN-071,Koochiching County,2016,41.775,361.53
27071,MN-071,Koochiching County,2017,40.61666666666667,316.89
27071,MN-071,Koochiching County,2018,37.18333333333333,279.34000000000003
27071,MN-071,Koochiching County,2019,36.15833333333333,333.61
27071,MN-071,Koochiching County,2020,38.03333333333333,334.14
27071,MN-071,Koochiching County,2021,40.53333333333333,245.96
27071,MN-071,Koochiching County,2022,38.25,355.34999999999997
27071,MN-071,Koochiching County,2023,39.00833333333333,299.68
27073,MN-073,Lac qui Parle County,2011,43.26666666666667,380.65
27073,MN-073,Lac qui Parle County,2012,48.583333333333336,252.87
27073,MN-073,Lac qui Parle County,2013,43.425000000000004,270.61
27073,MN-073,Lac qui Parle County,2014,41.458333333333336,328.04
27073,MN-073,Lac qui Parle County,2015,44.541666666666664,312.33
27073,MN-073,Lac qui Parle County,2016,47.975,332.34
27073,MN-073,Lac qui Parle County,2017,46.85833333333333,374.74
27073,MN-073,Lac qui Parle County,2018,44.074999999999996,340.31
27073,MN-073,Lac qui Parle County,2019,42.108333333333334,399.28000000000003
27073,MN-073,Lac qui Parle County,2020,44.199999999999996,314.79
27073,MN-073,Lac qui Parle County,2021,46.416666666666664,278.71
27073,MN-073,Lac qui Parle County,2022,44.69166666666666,327.3
27073,MN-073,Lac qui Parle County,2023,44.15833333333333,269.25
27075,MN-075,Lake County,2011,37.75,334.31
27075,MN-075,Lake County,2012,41.083333333333336,340.21000000000004
27075,MN-075,Lake County,2013,37.166666666666664,396.58
27075,MN-075,Lake County,2014,33.391666666666666,399.08
27075,MN-075,Lake County,2015,36.38333333333333,335.15
27075,MN-075,Lake County,2016,40.166666666666664,431.1
27075,MN-075,Lake County,2017,39.55833333333333,419.47
