county_fips,state_name,county_name,pop_total,year,pop_growth_rate
27063,Minnesota,Jackson County,10096,2015,-1.7133956386292781
27063,Minnesota,Jackson County,9968,2016,-1.267828843106178
27063,Minnesota,Jackson County,9965,2017,-0.03009630818620046
27063,Minnesota,Jackson County,9895,2018,-0.7024586051179171
27063,Minnesota,Jackson County,9846,2019,-0.4951995957554356
27065,Minnesota,Kanabec County,16225,2011,
27065,Minnesota,Kanabec County,15972,2012,-1.5593220338983027
27065,Minnesota,Kanabec County,16008,2013,0.22539444027047661
27065,Minnesota,Kanabec County,15970,2014,-0.2373813093453303
27065,Minnesota,Kanabec County,15888,2015,-0.5134627426424565
27065,Minnesota,Kanabec County,15912,2016,0.15105740181269312
27065,Minnesota,Kanabec County,16060,2017,0.9301156359979856
27065,Minnesota,Kanabec County,16246,2018,1.1581569115815649
27065,Minnesota,Kanabec County,16337,2019,0.5601378800935697
27067,Minnesota,Kandiyohi County,42202,2011,
27067,Minnesota,Kandiyohi County,42373,2012,0.4051940666319087
27067,Minnesota,Kandiyohi County,42450,2013,0.18171949118541697
27067,Minnesota,Kandiyohi County,42482,2014,0.0753828032979964
27067,Minnesota,Kandiyohi County,42623,2015,0.33190527752930965
27067,Minnesota,Kandiyohi County,42697,2016,0.17361518429017675
27067,Minnesota,Kandiyohi County,42778,2017,0.1897088788439527
27067,Minnesota,Kandiyohi County,42910,2018,0.3085698256112934
27067,Minnesota,Kandiyohi County,43199,2019,0.6735026800279709
27069,Minnesota,Kittson County,4540,2011,
27069,Minnesota,Kittson County,4497,2012,-0.9471365638766494
27069,Minnesota,Kittson County,4498,2013,0.022237046920170478
27069,Minnesota,Kittson County,4455,2014,-0.9559804357492263
27069,Minnesota,Kittson County,4409,2015,-1.03254769921437
27069,Minnesota,Kittson County,4320,2016,-2.018598321614884
27069,Minnesota,Kittson County,4261,2017,-1.3657407407407396
27069,Minnesota,Kittson County,4268,2018,0.16428068528513418
27069,Minnesota,Kittson County,4298,2019,0.7029053420805953
27071,Minnesota,Koochiching County,13235,2011,
27071,Minnesota,Koochiching County,13163,2012,-0.5440120891575417
27071,Minnesota,Koochiching County,13088,2013,-0.5697789257767982
27071,Minnesota,Koochiching County,12847,2014,-1.8413814180929133
27071,Minnesota,Koochiching County,12797,2015,-0.3891959212267482
27071,Minnesota,Koochiching County,12610,2016,-1.4612799874970661
27071,Minnesota,Koochiching County,12506,2017,-0.8247422680412342
27071,Minnesota,Koochiching County,12431,2018,-0.5997121381736803
27071,Minnesota,Koochiching County,12229,2019,-1.624969833480816
27073,Minnesota,Lac qui Parle County,7220,2011,
27073,Minnesota,Lac qui Parle County,7121,2012,-1.3711911357340734
27073,Minnesota,Lac qui Parle County,7005,2013,-1.628984693161073
27073,Minnesota,Lac qui Parle County,6902,2014,-1.4703783012134153
27073,Minnesota,Lac qui Parle County,6877,2015,-0.3622138510576689
27073,Minnesota,Lac qui Parle County,6746,2016,-1.9049003926130625
27073,Minnesota,Lac qui Parle County,6683,2017,-0.9338867477023394
27073,Minnesota,Lac qui Parle County,6664,2018,-0.28430345653149836
27073,Minnesota,Lac qui Parle County,6623,2019,-0.6152460984393704
27075,Minnesota,Lake County,10779,2011,
27075,Minnesota,Lake County,10792,2012,0.1206048798589876
27075,Minnesota,Lake County,10706,2013,-0.7968865826538218
27075,Minnesota,Lake County,10602,2014,-0.9714178965066322
27075,Minnesota,Lake County,10541,2015,-0.5753631390303715
27075,Minnesota,Lake County,10514,2016,-0.25614268096005866
27075,Minnesota,Lake County,10493,2017,-0.1997336884154488
27075,Minnesota,Lake County,10610,2018,1.115029066997053
27075,Minnesota,Lake County,10641,2019,0.29217719132892395
27077,Minnesota,Lake of the Woods County,4011,2011,
27077,Minnesota,Lake of the Woods County,3947,2012,-1.5956120668162543
27077,Minnesota,Lake of the Woods County,3910,2013,-0.9374208259437578
27077,Minnesota,Lake of the Woods County,3889,2014,-0.5370843989769836
27077,Minnesota,Lake of the Woods County,3868,2015,-0.5399845718693785
27077,Minnesota,Lake of the Woods County,3781,2016,-2.249224405377459
27077,Minnesota,Lake of the Woods County,3727,2017,-1.4281935995768325
27077,Minnesota,Lake of the Woods County,3737,2018,0.26831231553527957
27077,Minnesota,Lake of the Woods County,3740,2019,0.08027829810008935
27079,Minnesota,Le Sueur County,27782,2011,
27079,Minnesota,Le Sueur County,27661,2012,-0.43553379886257515
27079,Minnesota,Le Sueur County,27705,2013,0.15906872491955326
27079,Minnesota,Le Sueur County,27814,2014,0.39343078866631576
27079,Minnesota,Le Sueur County,27755,2015,-0.21212339109800693
27079,Minnesota,Le Sueur County,27772,2016,0.06125022518466139
27079,Minnesota,Le Sueur County,28210,2017,1.5771280426328582
27079,Minnesota,Le Sueur County,28588,2018,1.3399503722084427
27079,Minnesota,Le Sueur County,28887,2019,1.0458933818385363
27081,Minnesota,Lincoln County,5808,2011,
